Designator,Mid X,Mid Y,Rotation,Layer
C1,133.0634,-113.1208,180.0,bottom
C2,142.9634,-79.7208,180.0,bottom
C3,150.9634,-97.2208,270.0,bottom
C4,156.7134,-96.9708,180.0,bottom
C5,165.9634,-96.9708,180.0,bottom
C6,150.2134,-87.2236,0.0,bottom
C7,150.2134,-82.2198,0.0,bottom
C8,150.2134,-84.7344,180.0,bottom
C9,150.2134,-79.7208,180.0,bottom
CEN1,140.1409,-107.4708,90.0,top
CEN2,140.1409,-118.9708,90.0,top
D1,161.2134,-93.7808,90.0,bottom
D2,168.7734,-90.2208,0.0,bottom
J1,119.4634,-113.2358,180.0,bottom
J2,119.4884,-89.2358,180.0,top
J3,176.2134,-113.2358,180.0,bottom
J4,176.2384,-89.2358,180.0,top
L-IN1,125.1409,-118.9708,90.0,top
L-O1,170.5359,-107.4708,270.0,top
L_IN2,125.1409,-107.4708,90.0,top
PWR1,164.7584,-83.3658,90.0,bottom
R-IN1,155.1409,-118.9708,90.0,top
R-IN2,155.1409,-107.4708,90.0,top
R-O1,170.5359,-118.9708,270.0,top
R1,146.0034,-113.2208,180.0,bottom
R10,155.5634,-118.7108,90.0,bottom
R11,152.8634,-118.7108,90.0,bottom
R12,155.5634,-107.7308,270.0,bottom
R13,152.8634,-107.7308,270.0,bottom
R14,122.7134,-87.7608,270.0,bottom
R15,128.9634,-96.4308,90.0,bottom
R16,125.4634,-87.7608,270.0,bottom
R17,131.9634,-96.4308,270.0,bottom
R18,132.4234,-90.9708,180.0,bottom
R19,135.2134,-96.4308,270.0,bottom
R2,125.3634,-107.7308,270.0,bottom
R20,142.0034,-82.7208,180.0,bottom
R21,153.2534,-90.4708,180.0,bottom
R22,142.0034,-86.4708,180.0,bottom
R23,153.2534,-92.9708,0.0,bottom
R3,123.0634,-107.7308,270.0,bottom
R4,125.3634,-118.9108,90.0,bottom
R5,123.0634,-118.9108,90.0,bottom
R6,138.1634,-107.7308,270.0,bottom
R7,140.5634,-107.7308,270.0,bottom
R8,138.1634,-118.7108,90.0,bottom
R9,140.5634,-118.7108,90.0,bottom
ST-IN1,121.9334,-95.5958,180.0,bottom
ST-OUT1,173.4334,-95.5958,180.0,bottom
U1,132.5134,-84.1708,180.0,bottom
U2,143.7634,-93.9208,180.0,bottom
